r0,r1,r2,E
3.15,0.97,2.360321748718444,-150.65485
3.05,0.97,2.240312275789633,-150.65484
3.1,0.97,2.311411521482141,-150.65484
3.2,0.97,2.409276715802111,-150.65484
3.25,0.97,2.4472275632817864,-150.65484
3.45,0.97,2.568062733940553,-150.65484
3.3,0.97,2.485612502084174,-150.65483
3.35,0.97,2.514386106607677,-150.65483
3.4,0.97,2.5446324216651415,-150.65483
3.5,0.97,2.594846094541236,-150.65483
3.15,0.97,2.3717610810133025,-150.65482
2.5,0.97,2.5030933607086565,-150.654813
3.05,0.97,2.251283010386787,-150.65481
3.45,0.97,2.576384765788001,-150.65481
3.1,0.97,2.322906768163005,-150.6548
3.2,0.97,2.4206621815613363,-150.6548
3.25,0.97,2.4582737498372946,-150.6548
3.35,0.97,2.5244303514456083,-150.6548
3.5,0.97,2.602081642009074,-150.6548
2.3,0.97,2.81111981598469,-150.6547926
3.3,0.97,2.496314209969087,-150.65479
3.4,0.97,2.5539956610586194,-150.65479
3.05,0.97,2.2625489355608366,-150.65478
3.15,0.97,2.3834802462760374,-150.65478
3.1,0.97,2.334681723429396,-150.65477
3.45,0.97,2.585045650630336,-150.65477
3.5,0.97,2.60967183853903,-150.65477
3.2,0.97,2.4323275723185205,-150.65476
3.25,0.97,2.4696072904559503,-150.65476
3.35,0.97,2.5347827508506193,-150.65476
3.05,0.97,2.2741022584188246,-150.65475
3.15,0.97,2.3954715943391003,-150.65475
3.3,0.97,2.507310384649659,-150.65475
3.4,0.97,2.5636798689794893,-150.65475
3.1,0.97,2.346728617538939,-150.65474
3.45,0.97,2.594039369785677,-150.65474
3.5,0.97,2.617611297363304,-150.65474
3.05,0.97,2.2859351292288297,-150.65473
3.2,0.97,2.4442653526560507,-150.65473
3.25,0.97,2.4812208192205976,-150.65473
3.35,0.97,2.5454364111682435,-150.65472
3.4,0.97,2.5736784893326368,-150.65472
3.1,0.97,2.3590396432985137,-150.65471
3.15,0.97,2.4077274335182,-150.65471
3.3,0.97,2.5185938419890324,-150.65471
3.5,0.97,2.6258944433262186,-150.65471
1.8,0.97,2.466329156919748,-150.6547038
3.05,0.97,2.2980396535888854,-150.6547
3.45,0.97,2.6033597487407887,-150.6547
1.8,0.97,1.6949258909438005,-150.6546966
3.2,0.97,2.4564679418991613,-150.65469
3.25,0.97,2.4931069108853117,-150.65469
3.35,0.97,2.556384341370627,-150.65468
3.4,0.97,2.5839848446735356,-150.65468
3.05,0.97,2.310407904070581,-150.65467
3.1,0.97,2.371606966941614,-150.65467
3.15,0.97,2.420240041266562,-150.65467
3.3,0.97,2.530157324833094,-150.65467
3.5,0.97,2.634515523783819,-150.65467
3.45,0.97,2.613000468449953,-150.65466
2.5,0.97,2.8489162198239955,-150.6546572
3.2,0.97,2.4689277245504657,-150.65465
3.25,0.97,2.5052580915028417,-150.65465
3.05,0.97,2.3230319313220886,-150.65464
3.1,0.97,2.384422738490192,-150.65464
3.15,0.97,2.4330016743468748,-150.65464
3.35,0.97,2.567619464160718,-150.65464
3.4,0.97,2.594592147469144,-150.65464
3.5,0.97,2.6434686195615673,-150.65464
3.3,0.97,2.5419935137630456,-150.65463
3.45,0.97,2.622955076551494,-150.65463
3.05,0.97,2.3359037746198865,-150.65461
